Date,Value_GBP,Value_USA
2000-Q1,-1.596646,-3.790054
2000-Q2,-1.576924,-3.762476
2000-Q3,-2.005314,-4.0501
2000-Q4,-2.137916,-4.073653
2001-Q1,-1.013332,-4.092976
2001-Q2,-2.11513,-3.594717
2001-Q3,-2.088349,-3.903937
2001-Q4,-1.864082,-3.311788
2002-Q1,-1.8076,-3.806111
2002-Q2,-2.737137,-4.212883
2002-Q3,-1.556562,-4.182578
2002-Q4,-1.800543,-4.483144
2003-Q1,-0.9015954,-4.84555
2003-Q2,-2.05588,-4.573099
2003-Q3,-2.737085,-4.499308
2003-Q4,-1.574218,-4.331888
2004-Q1,-2.356021,-4.595617
2004-Q2,-2.423073,-5.155169
2004-Q3,-3.209985,-5.249833
2004-Q4,-1.243153,-5.788709
2005-Q1,-1.948499,-5.351928
2005-Q2,-0.6915601,-5.591482
2005-Q3,-2.743365,-5.727707
2005-Q4,-2.586424,-6.291498
2006-Q1,-3.259353,-5.868186
2006-Q2,-2.907585,-5.960785
2006-Q3,-3.349574,-6.299612
2006-Q4,-2.966632,-5.520002
2007-Q1,-3.923893,-5.636464
2007-Q2,-2.816369,-5.369613
2007-Q3,-4.387917,-4.827096
2007-Q4,-3.786026,-4.543482
2008-Q1,-3.489138,-4.957904
2008-Q2,-4.245898,-4.838413
2008-Q3,-3.584519,-4.784053
2008-Q4,-4.128279,-4.277841
2009-Q1,-3.991581,-2.755254
2009-Q2,-3.819031,-2.422295
2009-Q3,-2.296564,-2.529857
2009-Q4,-2.169693,-2.78076
2010-Q1,-2.326356,-2.791378
2010-Q2,-2.221469,-2.983566
2010-Q3,-3.285263,-3.080756
2010-Q4,-3.19367,-2.628986
2011-Q1,-0.699729,-3.106834
2011-Q2,-1.299816,-3.070794
2011-Q3,-2.721074,-2.731651
2011-Q4,-1.793331,-2.7716
2012-Q1,-1.877072,-2.835606
2012-Q2,-3.928171,-2.714956
2012-Q3,-2.919452,-2.423254
2012-Q4,-3.846518,-2.323936
2013-Q1,-4.298076,-2.184574
2013-Q2,-4.033843,-2.131931
2013-Q3,-4.62241,-2.014694
2013-Q4,-5.598477,-1.722683
2014-Q1,-4.044612,-2.114557
2014-Q2,-4.077199,-1.990329
2014-Q3,-5.030673,-2.003771
2014-Q4,-6.882816,-2.2953
2015-Q1,-5.590873,-2.20101
2015-Q2,-3.059075,-2.176722
2015-Q3,-4.406889,-2.389506
2015-Q4,-6.708556,-2.162327
2016-Q1,-5.775631,-2.245825
2016-Q2,-5.272087,-2.147982
2016-Q3,-6.674922,-2.107953
2016-Q4,-4.09068,-1.931084
2017-Q1,-3.173219,-1.773084
2017-Q2,-4.393651,-2.138832
2017-Q3,-3.350415,-1.742096
2017-Q4,-3.06547,-1.845498
2018-Q1,-4.106982,-1.90713
2018-Q2,-3.388299,-1.829929
2018-Q3,-3.653242,-2.297236
2018-Q4,-4.551931,-2.472967
2019-Q1,-6.242332,-2.188747
2019-Q2,-2.40688,-2.178821
2019-Q3,-2.402139,-2.024294
2019-Q4,0.2030792,-1.826248
2020-Q1,-2.038373,-1.851002
2020-Q2,-1.625864,-2.997558
2020-Q3,-1.935848,-3.090628
2020-Q4,-5.749275,-3.272773
2021-Q1,-0.8434756,-3.107054
2021-Q2,1.023443,-3.438363
2021-Q3,-2.422675,-3.805871
2021-Q4,0.3366998,-3.714535
2022-Q1,-7.512383,-4.5371
2022-Q2,-3.823124,-3.89573
2022-Q3,-1.880823,-3.427737
2022-Q4,0.6354859,-3.274018
2023-Q1,-2.379062,-3.199451
2023-Q2,-3.546464,-3.204448
2023-Q3,-2.506553,-2.901892
