DATE,GBRLORSGPNOSTSAM
2000-01-01,100.8423
2000-02-01,100.905
2000-03-01,100.9352
2000-04-01,100.9377
2000-05-01,100.9194
2000-06-01,100.8875
2000-07-01,100.84899999999999
2000-08-01,100.8101
2000-09-01,100.7754
2000-10-01,100.7479
2000-11-01,100.7284
2000-12-01,100.7148
2001-01-01,100.7007
2001-02-01,100.6785
2001-03-01,100.6425
2001-04-01,100.5931
2001-05-01,100.5329
2001-06-01,100.4643
2001-07-01,100.3874
2001-08-01,100.3015
2001-09-01,100.2058
2001-10-01,100.102
2001-11-01,99.99328
2001-12-01,99.88383
2002-01-01,99.77908000000001
2002-02-01,99.68469
2002-03-01,99.6054
2002-04-01,99.54306
2002-05-01,99.49824
2002-06-01,99.4705
2002-07-01,99.4576
2002-08-01,99.45697
2002-09-01,99.46618000000001
2002-10-01,99.48264
2002-11-01,99.50463
2002-12-01,99.5318
2003-01-01,99.56546
2003-02-01,99.60748000000001
2003-03-01,99.65890999999999
2003-04-01,99.71795999999999
2003-05-01,99.78132
2003-06-01,99.84496
2003-07-01,99.90472
2003-08-01,99.95618
2003-09-01,99.99507
2003-10-01,100.0181
2003-11-01,100.0229
2003-12-01,100.0099
2004-01-01,99.98394
2004-02-01,99.95152
2004-03-01,99.91739
2004-04-01,99.88271
2004-05-01,99.8469
2004-06-01,99.80984000000001
2004-07-01,99.77415
2004-08-01,99.74398000000001
2004-09-01,99.72384
2004-10-01,99.71715
2004-11-01,99.72664
2004-12-01,99.75389
2005-01-01,99.79784000000001
2005-02-01,99.85648
2005-03-01,99.9276
2005-04-01,100.0084
2005-05-01,100.0965
2005-06-01,100.1903
2005-07-01,100.2887
2005-08-01,100.3903
2005-09-01,100.4921
2005-10-01,100.5879
2005-11-01,100.6706
2005-12-01,100.7345
2006-01-01,100.7789
2006-02-01,100.8057
2006-03-01,100.8176
2006-04-01,100.8191
2006-05-01,100.8153
2006-06-01,100.81200000000001
2006-07-01,100.8168
2006-08-01,100.8382
2006-09-01,100.8831
2006-10-01,100.9553
2006-11-01,101.0561
2006-12-01,101.1838
2007-01-01,101.3308
2007-02-01,101.4884
2007-03-01,101.6487
2007-04-01,101.8081
2007-05-01,101.9652
2007-06-01,102.1199
2007-07-01,102.2727
2007-08-01,102.4237
2007-09-01,102.5713
2007-10-01,102.712
2007-11-01,102.8385
2007-12-01,102.9396
2008-01-01,103.0
2008-02-01,103.0017
2008-03-01,102.9272
2008-04-01,102.7679
2008-05-01,102.51899999999999
2008-06-01,102.1795
2008-07-01,101.76
2008-08-01,101.2755
2008-09-01,100.7437
2008-10-01,100.1891
2008-11-01,99.63922
2008-12-01,99.12201
2009-01-01,98.66434
2009-02-01,98.28986
2009-03-01,98.01303
2009-04-01,97.8271
2009-05-01,97.71793000000001
2009-06-01,97.67085
2009-07-01,97.67195
2009-08-01,97.712
2009-09-01,97.78698
2009-10-01,97.89568
2009-11-01,98.03905999999999
2009-12-01,98.21712
2010-01-01,98.42299999999999
2010-02-01,98.64648000000001
2010-03-01,98.87518
2010-04-01,99.09451
2010-05-01,99.2899
2010-06-01,99.44986999999999
2010-07-01,99.57038
2010-08-01,99.6516
2010-09-01,99.69721
2010-10-01,99.71638
2010-11-01,99.71903
2010-12-01,99.71297
2011-01-01,99.70192
2011-02-01,99.68719
2011-03-01,99.6695
2011-04-01,99.65089
2011-05-01,99.63385
2011-06-01,99.62035999999999
2011-07-01,99.61064
2011-08-01,99.60495
2011-09-01,99.605
2011-10-01,99.61479
2011-11-01,99.63767
2011-12-01,99.6725
2012-01-01,99.70864
2012-02-01,99.73383000000001
2012-03-01,99.74172
2012-04-01,99.74006
2012-05-01,99.74051999999999
2012-06-01,99.74914
2012-07-01,99.75639
2012-08-01,99.74732
2012-09-01,99.7117
2012-10-01,99.65489000000001
2012-11-01,99.5902
2012-12-01,99.53248
2013-01-01,99.49219000000001
2013-02-01,99.47632
2013-03-01,99.48793
2013-04-01,99.52372
2013-05-01,99.57786
2013-06-01,99.64394
2013-07-01,99.71540999999999
2013-08-01,99.78709
2013-09-01,99.85621
2013-10-01,99.92321
2013-11-01,99.99022
2013-12-01,100.0595
2014-01-01,100.1319
2014-02-01,100.2069
2014-03-01,100.2834
2014-04-01,100.3586
2014-05-01,100.4295
2014-06-01,100.4929
2014-07-01,100.5469
2014-08-01,100.5893
2014-09-01,100.6179
2014-10-01,100.6306
2014-11-01,100.6259
2014-12-01,100.6049
2015-01-01,100.5734
2015-02-01,100.5391
2015-03-01,100.5072
2015-04-01,100.4785
2015-05-01,100.4514
2015-06-01,100.4242
2015-07-01,100.3977
2015-08-01,100.3731
2015-09-01,100.3511
2015-10-01,100.3297
2015-11-01,100.3064
2015-12-01,100.2796
2016-01-01,100.251
2016-02-01,100.2229
2016-03-01,100.1975
2016-04-01,100.17399999999999
2016-05-01,100.1516
2016-06-01,100.1308
2016-07-01,100.1153
2016-08-01,100.1104
2016-09-01,100.1206
2016-10-01,100.1472
2016-11-01,100.1895
2016-12-01,100.2448
2017-01-01,100.3078
2017-02-01,100.3727
2017-03-01,100.4353
2017-04-01,100.4945
2017-05-01,100.5508
2017-06-01,100.6048
2017-07-01,100.6561
2017-08-01,100.7027
2017-09-01,100.7401
2017-10-01,100.7612
2017-11-01,100.7587
2017-12-01,100.7291
2018-01-01,100.6774
2018-02-01,100.6127
2018-03-01,100.544
2018-04-01,100.4777
2018-05-01,100.4182
2018-06-01,100.3675
2018-07-01,100.3249
2018-08-01,100.29
2018-09-01,100.2639
2018-10-01,100.2514
2018-11-01,100.2578
2018-12-01,100.2857
2019-01-01,100.3295
2019-02-01,100.381
2019-03-01,100.4338
2019-04-01,100.4868
2019-05-01,100.5406
2019-06-01,100.5936
2019-07-01,100.6383
2019-08-01,100.6659
2019-09-01,100.6712
2019-10-01,100.65899999999999
2019-11-01,100.6379
2019-12-01,100.6156
2020-01-01,100.5944
2020-02-01,100.5732
2020-03-01,93.33244
2020-04-01,85.81389
2020-05-01,82.05745999999999
2020-06-01,85.49916
2020-07-01,88.94067
2020-08-01,92.37682
2020-09-01,92.66102
2020-10-01,92.94700999999999
2020-11-01,93.23149000000001
2020-12-01,92.92381999999999
2021-01-01,92.61561999999999
2021-02-01,92.30634
2021-03-01,94.04144000000001
2021-04-01,95.77164
2021-05-01,97.50945
2021-06-01,97.90292
2021-07-01,98.30906999999999
2021-08-01,98.72301
2021-09-01,99.10696999999999
2021-10-01,99.49978
2021-11-01,99.89828
2021-12-01,99.9334
2022-01-01,99.97488
2022-02-01,100.0111
2022-03-01,100.0323
2022-04-01,100.0358
2022-05-01,100.0228
2022-06-01,99.9973
2022-07-01,99.96631
2022-08-01,99.93705
2022-09-01,99.91528000000001
2022-10-01,99.90318
2022-11-01,99.90039
2022-12-01,99.90425
2023-01-01,99.90942
2023-02-01,99.9099
2023-03-01,99.90101999999999
2023-04-01,99.88166
2023-05-01,99.85315
2023-06-01,99.81881
2023-07-01,99.78423000000001
2023-08-01,99.75476
